id,project_id,name,role
186,186,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
187,187,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
188,188,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
189,189,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
190,190,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
191,191,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
192,192,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
193,193,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
194,194,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
195,195,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
196,196,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
197,197,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
198,198,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092",AUTHOR
